cce_loss,cce_accuracy,disc_loss,gan_loss
"tf.Tensor(50.379326, shape=(), dtype=float32)","tf.Tensor(0.18681319, shape=(), dtype=float32)","tf.Tensor(0.68745637, shape=(), dtype=float32)","tf.Tensor(0.7026467, shape=(), dtype=float32)"
"tf.Tensor(24.732813, shape=(), dtype=float32)","tf.Tensor(0.54190004, shape=(), dtype=float32)","tf.Tensor(0.6656059, shape=(), dtype=float32)","tf.Tensor(0.7328455, shape=(), dtype=float32)"
"tf.Tensor(24.1455, shape=(), dtype=float32)","tf.Tensor(0.5526534, shape=(), dtype=float32)","tf.Tensor(0.5625315, shape=(), dtype=float32)","tf.Tensor(1.0436168, shape=(), dtype=float32)"
"tf.Tensor(23.63237, shape=(), dtype=float32)","tf.Tensor(0.5610133, shape=(), dtype=float32)","tf.Tensor(0.4572007, shape=(), dtype=float32)","tf.Tensor(1.5205148, shape=(), dtype=float32)"
"tf.Tensor(23.438707, shape=(), dtype=float32)","tf.Tensor(0.5640999, shape=(), dtype=float32)","tf.Tensor(0.38300395, shape=(), dtype=float32)","tf.Tensor(1.8453846, shape=(), dtype=float32)"
"tf.Tensor(23.282719, shape=(), dtype=float32)","tf.Tensor(0.56707305, shape=(), dtype=float32)","tf.Tensor(0.3262503, shape=(), dtype=float32)","tf.Tensor(2.1197422, shape=(), dtype=float32)"
"tf.Tensor(23.096952, shape=(), dtype=float32)","tf.Tensor(0.5705911, shape=(), dtype=float32)","tf.Tensor(0.2835572, shape=(), dtype=float32)","tf.Tensor(2.3022723, shape=(), dtype=float32)"
"tf.Tensor(23.054676, shape=(), dtype=float32)","tf.Tensor(0.57107687, shape=(), dtype=float32)","tf.Tensor(0.25050947, shape=(), dtype=float32)","tf.Tensor(2.4475033, shape=(), dtype=float32)"
"tf.Tensor(23.086857, shape=(), dtype=float32)","tf.Tensor(0.5713993, shape=(), dtype=float32)","tf.Tensor(0.22401321, shape=(), dtype=float32)","tf.Tensor(2.5906317, shape=(), dtype=float32)"
"tf.Tensor(23.049255, shape=(), dtype=float32)","tf.Tensor(0.57225966, shape=(), dtype=float32)","tf.Tensor(0.20255648, shape=(), dtype=float32)","tf.Tensor(2.7162426, shape=(), dtype=float32)"
"tf.Tensor(23.007473, shape=(), dtype=float32)","tf.Tensor(0.57318085, shape=(), dtype=float32)","tf.Tensor(0.18491161, shape=(), dtype=float32)","tf.Tensor(2.827592, shape=(), dtype=float32)"
"tf.Tensor(22.954634, shape=(), dtype=float32)","tf.Tensor(0.5740584, shape=(), dtype=float32)","tf.Tensor(0.17007902, shape=(), dtype=float32)","tf.Tensor(2.9347823, shape=(), dtype=float32)"
"tf.Tensor(22.922215, shape=(), dtype=float32)","tf.Tensor(0.5745242, shape=(), dtype=float32)","tf.Tensor(0.15744789, shape=(), dtype=float32)","tf.Tensor(3.0356271, shape=(), dtype=float32)"
"tf.Tensor(22.927479, shape=(), dtype=float32)","tf.Tensor(0.574253, shape=(), dtype=float32)","tf.Tensor(0.14659049, shape=(), dtype=float32)","tf.Tensor(3.1309566, shape=(), dtype=float32)"
"tf.Tensor(22.915976, shape=(), dtype=float32)","tf.Tensor(0.5742925, shape=(), dtype=float32)","tf.Tensor(0.1371789, shape=(), dtype=float32)","tf.Tensor(3.2147942, shape=(), dtype=float32)"
"tf.Tensor(22.915928, shape=(), dtype=float32)","tf.Tensor(0.57417876, shape=(), dtype=float32)","tf.Tensor(0.12885387, shape=(), dtype=float32)","tf.Tensor(3.3070376, shape=(), dtype=float32)"
"tf.Tensor(22.866219, shape=(), dtype=float32)","tf.Tensor(0.57539, shape=(), dtype=float32)","tf.Tensor(0.121538505, shape=(), dtype=float32)","tf.Tensor(3.3841908, shape=(), dtype=float32)"
"tf.Tensor(22.88137, shape=(), dtype=float32)","tf.Tensor(0.57505715, shape=(), dtype=float32)","tf.Tensor(0.115002595, shape=(), dtype=float32)","tf.Tensor(3.462092, shape=(), dtype=float32)"
"tf.Tensor(22.908237, shape=(), dtype=float32)","tf.Tensor(0.5747857, shape=(), dtype=float32)","tf.Tensor(0.10916162, shape=(), dtype=float32)","tf.Tensor(3.5328317, shape=(), dtype=float32)"
"tf.Tensor(22.842787, shape=(), dtype=float32)","tf.Tensor(0.57580763, shape=(), dtype=float32)","tf.Tensor(0.10388281, shape=(), dtype=float32)","tf.Tensor(3.6037624, shape=(), dtype=float32)"
"tf.Tensor(22.801891, shape=(), dtype=float32)","tf.Tensor(0.5762722, shape=(), dtype=float32)","tf.Tensor(0.09910855, shape=(), dtype=float32)","tf.Tensor(3.667479, shape=(), dtype=float32)"
"tf.Tensor(22.782219, shape=(), dtype=float32)","tf.Tensor(0.57664365, shape=(), dtype=float32)","tf.Tensor(0.09475635, shape=(), dtype=float32)","tf.Tensor(3.7290702, shape=(), dtype=float32)"
"tf.Tensor(22.763874, shape=(), dtype=float32)","tf.Tensor(0.57687134, shape=(), dtype=float32)","tf.Tensor(0.09077176, shape=(), dtype=float32)","tf.Tensor(3.7888966, shape=(), dtype=float32)"
"tf.Tensor(22.743876, shape=(), dtype=float32)","tf.Tensor(0.57730573, shape=(), dtype=float32)","tf.Tensor(0.08709757, shape=(), dtype=float32)","tf.Tensor(3.8509705, shape=(), dtype=float32)"
"tf.Tensor(22.751091, shape=(), dtype=float32)","tf.Tensor(0.5771992, shape=(), dtype=float32)","tf.Tensor(0.08370752, shape=(), dtype=float32)","tf.Tensor(3.9124877, shape=(), dtype=float32)"
"tf.Tensor(22.737093, shape=(), dtype=float32)","tf.Tensor(0.5774286, shape=(), dtype=float32)","tf.Tensor(0.080579855, shape=(), dtype=float32)","tf.Tensor(3.9688938, shape=(), dtype=float32)"
"tf.Tensor(22.740675, shape=(), dtype=float32)","tf.Tensor(0.5772957, shape=(), dtype=float32)","tf.Tensor(0.078611344, shape=(), dtype=float32)","tf.Tensor(4.0231667, shape=(), dtype=float32)"
"tf.Tensor(23.260487, shape=(), dtype=float32)","tf.Tensor(0.5684589, shape=(), dtype=float32)","tf.Tensor(0.07587996, shape=(), dtype=float32)","tf.Tensor(4.0824614, shape=(), dtype=float32)"
"tf.Tensor(23.768444, shape=(), dtype=float32)","tf.Tensor(0.55978346, shape=(), dtype=float32)","tf.Tensor(0.073323295, shape=(), dtype=float32)","tf.Tensor(4.150805, shape=(), dtype=float32)"
"tf.Tensor(33.200523, shape=(), dtype=float32)","tf.Tensor(0.3434066, shape=(), dtype=float32)","tf.Tensor(0.0048423787, shape=(), dtype=float32)","tf.Tensor(5.4391994, shape=(), dtype=float32)"
"tf.Tensor(31.9547, shape=(), dtype=float32)","tf.Tensor(0.3804809, shape=(), dtype=float32)","tf.Tensor(0.0048488327, shape=(), dtype=float32)","tf.Tensor(5.4847636, shape=(), dtype=float32)"
"tf.Tensor(32.27101, shape=(), dtype=float32)","tf.Tensor(0.3786623, shape=(), dtype=float32)","tf.Tensor(0.0045536575, shape=(), dtype=float32)","tf.Tensor(5.6215363, shape=(), dtype=float32)"
"tf.Tensor(32.273098, shape=(), dtype=float32)","tf.Tensor(0.37908465, shape=(), dtype=float32)","tf.Tensor(0.004509515, shape=(), dtype=float32)","tf.Tensor(5.628074, shape=(), dtype=float32)"
"tf.Tensor(32.10635, shape=(), dtype=float32)","tf.Tensor(0.38050315, shape=(), dtype=float32)","tf.Tensor(0.0044424543, shape=(), dtype=float32)","tf.Tensor(5.6337357, shape=(), dtype=float32)"
