cce_loss,cce_accuracy,disc_loss,gan_loss
"tf.Tensor(123.40465, shape=(), dtype=float32)","tf.Tensor(0.0009775171, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(59.02604, shape=(), dtype=float32)","tf.Tensor(0.31860283, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(53.710346, shape=(), dtype=float32)","tf.Tensor(0.37924254, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(50.571743, shape=(), dtype=float32)","tf.Tensor(0.4153182, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(49.77092, shape=(), dtype=float32)","tf.Tensor(0.4212319, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(49.59555, shape=(), dtype=float32)","tf.Tensor(0.41954994, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(48.882713, shape=(), dtype=float32)","tf.Tensor(0.42719105, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(48.147358, shape=(), dtype=float32)","tf.Tensor(0.43580234, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(47.677567, shape=(), dtype=float32)","tf.Tensor(0.4393152, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(47.63806, shape=(), dtype=float32)","tf.Tensor(0.4382587, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(47.305218, shape=(), dtype=float32)","tf.Tensor(0.4417655, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(46.97015, shape=(), dtype=float32)","tf.Tensor(0.44511658, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(46.746162, shape=(), dtype=float32)","tf.Tensor(0.44699964, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(46.919117, shape=(), dtype=float32)","tf.Tensor(0.44339958, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(46.930843, shape=(), dtype=float32)","tf.Tensor(0.4427413, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(46.650127, shape=(), dtype=float32)","tf.Tensor(0.44613072, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
